### Surf Session Ratings and Analysis for Peniche Supertubos

#### 1. Hourly Ratings Overview:

| Timestamp (UTC)      | Wave Height (m) | Wind Speed (kph) | Rating       |
|----------------------|------------------|-------------------|--------------|
| 2026-04-26T00:00     | 1.28             | 17.1              | Suitable     |
| 2026-04-26T01:00     | 1.28             | 18.1              | Suitable     |
| 2026-04-26T02:00     | 1.28             | 17.7              | Suitable     |
| 2026-04-26T03:00     | 1.26             | 17.5              | Suitable     |
| 2026-04-26T04:00     | 1.26             | 17.8              | Suitable     |
| 2026-04-26T05:00     | 1.24             | 16.3              | Suitable     |
| 2026-04-26T06:00     | 1.24             | 15.7              | Suitable     |
| 2026-04-26T07:00     | 1.22             | 15.1              | Suitable     |
| 2026-04-26T08:00     | 1.20             | 17.0              | Suitable     |
| 2026-04-26T09:00     | 1.20             | 16.2              | Suitable     |
| 2026-04-26T10:00     | 1.18             | 15.2              | Suitable     |
| 2026-04-26T11:00     | 1.18             | 15.3              | Suitable     |
| 2026-04-26T12:00     | 1.16             | 16.9              | Suitable     |
| 2026-04-26T13:00     | 1.16             | 19.5              | Suitable     |
| 2026-04-26T14:00     | 1.16             | 21.0              | Suitable     |
| 2026-04-26T15:00     | 1.18             | 22.3              | Suitable     |
| 2026-04-26T16:00     | 1.18             | 23.1              | Suitable     |
| 2026-04-26T17:00     | 1.18             | 22.3              | Suitable     |
| 2026-04-26T18:00     | 1.18             | 23.1              | Suitable     |
| 2026-04-26T19:00     | 1.18             | 22.4              | Suitable     |
| 2026-04-26T20:00     | 1.20             | 22.6              | Suitable     |
| 2026-04-26T21:00     | 1.24             | 21.1              | Suitable     |
| 2026-04-26T22:00     | 1.26             | 20.8              | Suitable     |
| 2026-04-26T23:00     | 1.26             | 20.8              | Suitable     |
| 2026-04-27T00:00     | 1.28             | 20.8              | Suitable     |
| 2026-04-27T01:00     | 1.28             | 17.7              | Suitable     |
| 2026-04-27T02:00     | 1.28             | 16.2              | Suitable     |
| 2026-04-27T03:00     | 1.28             | 16.6              | Suitable     |
| 2026-04-27T04:00     | 1.28             | 16.0              | Suitable     |
| 2026-04-27T05:00     | 1.30             | 15.5              | Suitable     |
| 2026-04-27T06:00     | 1.30             | 15.2              | Suitable     |
| 2026-04-27T07:00     | 1.32             | 13.7              | Suitable     |
| 2026-04-27T08:00     | 1.32             | 13.2              | Suitable     |
| 2026-04-27T09:00     | 1.34             | 13.5              | Suitable     |
| 2026-04-27T10:00     | 1.34             | 13.1              | Suitable     |
| 2026-04-27T11:00     | 1.34             | 12.0              | Suitable     |
| 2026-04-27T12:00     | 1.34             | 11.6              | Suitable     |
| 2026-04-27T13:00     | 1.34             | 12.1              | Suitable     |
| 2026-04-27T14:00     | 1.34             | 13.2              | Suitable     |
| 2026-04-27T15:00     | 1.36             | 14.8              | Suitable     |
| 2026-04-27T16:00     | 1.36             | 15.9              | Suitable     |
| 2026-04-27T17:00     | 1.36             | 16.9              | Suitable     |
| 2026-04-27T18:00     | 1.36             | 14.8              | Suitable     |
| 2026-04-27T19:00     | 1.36             | 13.3              | Suitable     |
| 2026-04-27T20:00     | 1.36             | 10.5              | Suitable     |
| 2026-04-27T21:00     | 1.34             | 9.4               | Suitable     |
| 2026-04-27T22:00     | 1.34             | 8.4               | Suitable     |
| 2026-04-27T23:00     | 1.34             | 9.4               | Suitable     |
| 2026-04-28T00:00     | 1.32             | 9.6               | Suitable     |
| 2026-04-28T01:00     | 1.32             | 7.2               | Suitable     |
| 2026-04-28T02:00     | 1.34             | 6.3               | Suitable     |
| 2026-04-28T03:00     | 1.34             | 6.6               | Suitable     |
| 2026-04-28T04:00     | 1.36             | 6.6               | Suitable     |
| 2026-04-28T05:00     | 1.38             | 7.7               | Suitable     |
| 2026-04-28T06:00     | 1.42             | 6.7               | Suitable     |
| 2026-04-28T07:00     | 1.44             | 5.6               | Suitable     |
| 2026-04-28T08:00     | 1.46             | 5.9               | Suitable     |
| 2026-04-28T09:00     | 1.50             | 7.1               | Suitable     |
| 2026-04-28T10:00     | 1.52             | 7.5               | Suitable     |
| 2026-04-28T11:00     | 1.52             | 6.5               | Suitable     |
| 2026-04-28T12:00     | 1.52             | 8.9               | Suitable     |
| 2026-04-28T13:00     | 1.52             | 9.2               | Suitable     |
| 2026-04-28T14:00     | 1.52             | 11.6              | Suitable     |
| 2026-04-28T15:00     | 1.50             | 13.4              | Suitable     |
| 2026-04-28T16:00     | 1.50             | 13.8              | Suitable     |
| 2026-04-28T17:00     | 1.48             | 11.1              | Suitable     |
| 2026-04-28T18:00     | 1.48             | 11.1              | Suitable     |
| 2026-04-28T19:00     | 1.46             | 10.1              | Suitable     |
| 2026-04-28T20:00     | 1.44             | 9.9               | Suitable     |
| 2026-04-28T21:00     | 1.42             | 8.5               | Suitable     |
| 2026-04-28T22:00     | 1.40             | 6.9               | Suitable     |
| 2026-04-28T23:00     | 1.38             | 8.4               | Suitable     |
| 2026-04-29T00:00     | 1.36             | 9.0               | Suitable     |
| 2026-04-29T01:00     | 1.34             | 8.7               | Suitable     |
| 2026-04-29T02:00     | 1.32             | 9.7               | Suitable     |
| 2026-04-29T03:00     | 1.30             | 9.2               | Suitable     |
| 2026-04-29T04:00     | 1.28             | 9.3               | Suitable     |
| 2026-04-29T05:00     | 1.28             | 10.7              | Suitable     |
| 2026-04-29T06:00     | 1.28             | 8.7               | Suitable     |
| 2026-04-29T07:00     | 1.28             | 6.1               | Suitable     |
| 2026-04-29T08:00     | 1.30             | 9.3               | Suitable     |
| 2026-04-29T09:00     | 1.30             | 11.4              | Suitable     |
